created_at,address,gitcoin_stamps
2022-10-18 05:16:16.368865+00,0x1bc5ebee4738fd95bd96751c45a90889f772e0f3,"{""POAP"": ""v0.0.0:b89J7rLZ3nfOnGd202vQqRAvZF9F2SmnJqVYkiTlL5k="", ""Github"": ""v0.0.0:35D/Q66gEW3Ppz48S2EoJRSHd3ODodluOSvTtLra5iM="", ""Google"": ""v0.0.0:5kE5VjGhnOQvb3s8LB7bGPhVXB6dtYc2r4LK7cZCD/k="", ""Brightid"": ""v0.0.0:4c6X1fgYHk0uEtFgBz2I3vBZ99/i6zlwcvsBdOtGXcw="", ""Facebook"": ""v0.0.0:yiztRP8A3zGmZSEuRYJqW/qr/ZkWwxDlpnibGM8gqgk=""}"
2022-10-18 05:20:06.578226+00,0x76f69dcddd0593b0aff5fd3280c3433ddb68e0d2,"{""NFT"": ""v0.0.0:9P6qd1nCV5fHFhAr4pHvUBxdKrZcS/B2VV060tXJp34="", ""Discord"": ""v0.0.0:KRzJ007rBH/mz8nnmyTzr6UTDZAyjlMnJWYxmFhdUaM="", ""Brightid"": ""v0.0.0:i0gOb+OF2M6d7F7a4LfqrlMJ3VuOXA9v/Dt71jcGyY0="", ""FirstEthTxnProvider"": ""v0.0.0:FPwgANAL+mRE/Ya9c+a35vnP9VM07+RlccTluiQhyYg="", ""EthGTEOneTxnProvider"": ""v0.0.0:ZnlBfgl/5cfylWT+d2hFZkiPLUF+8daYfTLwcHkVEXo=""}"
2022-10-18 05:20:08.929638+00,0x3812801cbf0e41413db4835a5e36228ad45e32bf,"{""Github"": ""v0.0.0:nlR7ZPTDFSol+PrSDMqOwXsL8wk9hQVsI0cRPp+uM94="", ""Google"": ""v0.0.0:Z0QlzvuM6ElHv5amqlkOjC2OYcOJLawLlVW32PSQyOc="", ""Discord"": ""v0.0.0:gkSMa6ncAzs/5H8Gu3SF9OvtM2f5nFKSujyQXl1wzD4="", ""Twitter"": ""v0.0.0:umPakTUS27OE6a7iKUtD+C3NaEUGbxLp9SSWVmNJ3iI="", ""Facebook"": ""v0.0.0:A4BPtTEjuoioGqhUp7UV7XjkofSbcEFTlI+c3X6Wnxs="", ""Linkedin"": ""v0.0.0:rF6LjYyLE18aMna8xQkwm/E6o4P9I1YaIrrOVmaY3l0=""}"
2022-10-18 05:31:17.112953+00,0x8f8a255c64ec0109092674a7219f4d10f625e788,"{""Ens"": ""v0.0.0:SMzYbPS/ygb6fIBSFUHsOIuRDnPE9s95kZP/gjoSpAQ="", ""NFT"": ""v0.0.0:GtfU0XcdCf02iQhFRcPThbeqRQ5MxpM7exmMp9/CUYY="", ""POAP"": ""v0.0.0:/9u8OfUl9tlfio31aPENCWr1eQSj8eOljMTmrbG8xRQ="", ""Github"": ""v0.0.0:WLSPZuX/LzdCgV7wFLkLdbyoPkAZHj8rvjwtY70/nyM="", ""ZkSync"": ""v0.0.0:KuVh0dVq9WKDeT2q+2Q2FYTmzLTVzcwa7j1w3eqDkEQ="", ""FirstEthTxnProvider"": ""v0.0.0:NYtbDYJ+laUWgEiCFxTe9OahguLYAeO6g3F+5axy2go="", ""EthGTEOneTxnProvider"": ""v0.0.0:eqLF3Asgk1ajzYMp7IrGCbJr70Cmi5WvfmXb3bXU/GQ="", ""SnapshotVotesProvider"": ""v0.0.0:RFIW3FSU69LPsWSg0UQ4yCqN8L+l4UO8Ch+LqaCVoQY=""}"
2022-10-18 05:31:46.964516+00,0x5e280efdb4dc45ec4aa73494f78b89a21741a9ba,{}
2022-10-18 05:35:22.52622+00,0xdcdbd2b5ca6430b2456850cbd2c164413852381a,{}
2022-10-18 05:36:02.831678+00,0x88f74515cb136609eaa538f71c0e7dadd537d594,{}
2022-10-18 05:38:17.152794+00,0xe9034bcd20119ee7563d145dc817820690afd5fb,{}
2022-10-18 05:38:26.961631+00,0x2342e0debeffc7765ed5e771e18e96068f38d3a4,"{""Github"": ""v0.0.0:Eli3iOO9O7840IrIHnNpz25OjS6rEAtXOweBAZwgNo0="", ""Twitter"": ""v0.0.0:ksxEsfsytFARjzYJ/i3gnMzxJDy0maRPN8q8Ou2b2FE="", ""Linkedin"": ""v0.0.0:SyybQsl/myvo2gvCHqbwacHCr6Z63DMl+42qs9Zfutw="", ""TwitterTweetGT10"": ""v0.0.0:xdQozZrKCvTW0BcAUFFIb1QTLhwtV6vQ+GtVq+vMzJs=""}"
2022-10-18 05:43:04.201281+00,0xdffe6d135e4396f90ba66a1024bdeb6ef5df9276,"{""Github"": ""v0.0.0:4nBf/a9S8LtgH1Fid8Myq/zc6jMu33N9un3IUcpO2Iw="", ""Google"": ""v0.0.0:kssMpH61G+hMhwje7Ol0zN1FTsfBA29U+6ifQcVw1bY="", ""Twitter"": ""v0.0.0:CYYnp2kcuwNLIoafRbkQH0prT8AvHXyHjAgwfVQOomY="", ""TwitterTweetGT10"": ""v0.0.0:qUCthfTCCM7M1+aElJEweBD0nZPlfI+ysvGEk3TBV40=""}"
